Year,Month,Monthly,Monthly_v2,Annual,Five,Ten,Twenty,,,,
1980,1,1.066,-22.434,0.976,0.239,0.285,0.132,,,,
1980,2,2.539,-18.381,1.047,0.229,0.273,0.119,,,,
1980,3,0.81,-14.92,0.929,0.225,0.294,0.129,,,,-23.5
1980,4,1.927,-4.663,0.97,0.211,0.286,0.133,,,,-20.92
1980,5,1.837,4.227,0.915,0.165,0.283,0.14,,,,-15.73
1980,6,-0.074,9.176,0.477,0.201,0.272,0.139,,,,-6.59
1980,7,-0.322,12.548,0.947,0.216,0.26,0.14,,,,2.39
1980,8,0.308,11.688,1.08,0.171,0.255,0.139,,,,9.25
1980,9,-1.211,4.209,1.43,0.188,0.255,0.143,,,,12.87
1980,10,0.551,-1.469,1.203,0.204,0.25,0.136,,,,11.38
1980,11,1.33,-10.18,1.135,0.169,0.224,0.128,,,,5.42
1980,12,-3.036,-22.736,1.118,0.198,0.25,0.13,,,,-2.02
1981,1,6.702,-16.798,1.187,0.216,0.267,0.131,,,,-11.51
1981,2,4.138,-16.782,1.275,0.244,0.281,0.137,,,,-19.7
1981,3,5.006,-10.724,1.438,0.258,0.3,0.139,,,,
1981,4,-0.788,-7.378,1.417,0.288,0.28,0.144,,,,
1981,5,1.013,3.403,1.567,0.366,0.283,0.147,,,,
1981,6,-0.276,8.974,2.034,0.311,0.272,0.149,,,,
1981,7,0.512,13.382,1.159,0.289,0.267,0.151,,,,
1981,8,1.361,12.741,0.701,0.456,0.263,0.155,,,,
1981,9,0.74,6.16,0.198,0.465,0.249,0.153,,,,
1981,10,0.305,-1.715,0.089,0.513,0.248,0.142,,,,
1981,11,3.127,-8.383,-0.005,0.516,0.21,0.141,,,,
1981,12,2.564,-17.136,-0.003,0.532,0.247,0.154,,,,
1982,1,-3.789,-27.289,-0.028,0.53,0.258,0.181,,,,
1982,2,-1.359,-22.279,-0.255,0.553,0.252,0.199,,,,
1982,3,-1.028,-16.758,-0.3,0.529,0.24,0.213,,,,
1982,4,-2.102,-8.692,-0.306,0.522,0.242,0.218,,,,
1982,5,-0.118,2.272,-0.767,0.467,0.226,0.217,,,,
1982,6,-0.247,9.003,-0.99,0.383,0.225,0.216,,,,
1982,7,0.212,13.082,-0.552,0.427,0.231,0.216,,,,
1982,8,-1.367,10.013,-0.422,0.358,0.229,0.215,,,,
1982,9,0.208,5.628,-0.317,0.367,0.239,0.219,,,,
1982,10,0.221,-1.799,-0.114,0.318,0.233,0.228,,,,
1982,11,-2.405,-13.915,-0.303,0.302,0.241,0.236,,,,
1982,12,-0.104,-19.804,-0.221,0.303,0.3,0.249,,,,
1983,1,1.468,,-0.22,0.303,0.3,0.249,,,,
1983,2,0.2,,-0.039,0.286,0.276,0.251,,,,
1983,3,0.234,,-0.016,0.309,0.307,0.251,,,,
1983,4,0.337,,-0.022,0.291,0.329,0.256,,,,
1983,5,-2.393,,0.37,0.208,0.337,0.256,,,,
1983,6,0.732,,0.14,0.288,0.352,0.254,,,,
1983,7,0.232,,0.015,0.223,0.364,0.252,,,,
1983,8,0.804,,0.294,0.176,0.377,0.249,,,,
1983,9,0.486,,0.332,0.105,0.385,0.244,,,,
1983,10,0.147,,0.511,0.12,0.402,0.237,,,,
1983,11,2.304,,0.72,0.119,0.42,0.237,,,,
1983,12,-2.874,,0.71,0.104,0.418,0.241,,,,
1984,1,-0.027,,0.736,0.084,0.411,0.241,,,,
1984,2,3.541,,0.739,0.053,0.465,0.229,,,,
1984,3,0.698,,0.595,0.029,0.441,0.253,,,,
1984,4,2.479,,0.55,0.006,0.452,0.259,,,,
1984,5,0.114,,0.252,-0.114,0.452,0.268,,,,
1984,6,0.614,,0.255,-0.11,0.462,0.272,,,,
1984,7,0.542,,0.566,0.03,0.466,0.276,,,,
1984,8,0.849,,0.136,0.104,0.478,0.279,,,,
1984,9,-1.25,,0.189,0.147,0.482,0.29,,,,
1984,10,-0.392,,-0.101,0.212,0.481,0.305,,,,
1984,11,-1.266,,-0.036,0.211,0.441,0.304,,,,
1984,12,-2.844,,-0.088,0.224,0.413,0.304,,,,
1985,1,3.703,,-0.162,0.223,0.418,0.324,,,,
1985,2,-1.617,,-0.29,0.229,0.373,0.324,,,,
1985,3,1.339,,-0.172,0.253,0.394,0.332,,,,
1985,4,-1.006,,-0.185,0.255,0.383,0.337,,,,
1985,5,0.896,,-0.381,0.318,0.368,0.336,,,,
1985,6,-0.013,,0.002,0.399,0.372,0.338,,,,
1985,7,-0.345,,-0.075,0.384,0.379,0.333,,,,
1985,8,-0.689,,0.173,0.381,0.378,0.334,,,,
1985,9,0.175,,0.12,0.425,0.393,0.336,,,,
1985,10,-0.554,,0.214,0.454,0.377,0.338,,,,
1985,11,-3.618,,0.218,0.505,0.349,0.333,,,,
1985,12,1.758,,0.123,0.506,0.354,0.336,,,,
1986,1,2.778,,0.097,0.512,0.288,0.324,,,,
1986,2,1.356,,0.112,0.51,0.275,0.334,,,,
1986,3,0.708,,0.039,0.512,0.242,0.338,,,,
1986,4,0.119,,-0.008,0.516,0.262,0.328,,,,
1986,5,0.936,,-0.046,0.473,0.265,0.322,,,,
1986,6,-1.143,,0.045,0.526,0.276,0.325,,,,
1986,7,-0.665,,0.196,0.532,0.274,0.328,,,,
